A-(1)	"ئەی"
ABC	١ـ ئەلفبێ٢ـ بنەماکان ٣ـ پەڕتووکی سەرەتایی ٤ـ ئەلفبێی کار، سەرەتاکانی کار ٥ـ ئەی‌بی‌سی (کۆمپیوتەری ئاتانازۆف‌ـ بێڕی، لە مێژووی کۆمپیوتەردا)
abend-(=-abnormal-end-=-abnormal-termination)	١ـ "ئابێند"، دواییهاتنی نائاسایی، کۆتاییپێهاتنی نائاسایی  ٢ـ کۆتاییپێهێنانی نائاسایی
abend-recovery-program	بەرنامەی چێکەرەوەی "ئابێند"
ability	توانا، لێهاتوویی
B-(1)	نیشانەی کورتەی "بایت"
B-(2)	"بی"
B:	ب‌جووتخاڵ، بێ‌-جووتخاڵ
back-(1)	١ـ پشت، پاش، دوا ٢ـ ڕابردوو (ئاوەڵناو) ٣ـ پاڵپشتیکردن
back-(2)	گەڕانەوە، بۆ دواوە، بۆ پاشەوە
backbone	گازەرا، بڕبڕە
backbone-network	ڕایەڵەی بڕبڕە
backdoor	پشتەدەرگا
backdrop-(=-background-plane)	پەردەی پاشبنەما
backfile-(=-backup-file)	پەڕگەی پاڵپشتی
background	پاشبنەما
backing	١ـ پاڵپشتی ٢ـ پشتیوانی
backslash-(\)	لارەهێڵی پێچەوانە
backspace-(key)	كلیلی دوابەر، كلیلی بەرەودوا
backup	پاڵپشت ـ پاراستن
bad-sector-	کەرتی خراپ، سەکتەری خراپ
badge-reader	نیشانەخوێن، نیشانەخوێنەر
balance	١ـ هاوسەنگی، هاوتایی ٢ـ تەرازوو ٣ـ هاوسەنگکردن، هاوتاکردن، هاوتەرازکردن
balanced	هاوسەنگ، هاوتا، هاوتەراز
balanced-bridge	پردی هاوسەنگ
balanced-error	هەڵەی هاوسەنگ
ball	گۆ
ball-printer	چاپکەری گۆدار
ban	ڕێگرتن
band	باند، نەوار، شریت
bandwidth	باندبەرینی
banner-(1)	بەیداخ، بەنێر
banner-(2)	سەردێڕی سەرەکی
banner-(3)	سەردێڕسازی
Banner-(4)	بەنێر
bar	تووڵ، شیش، میلە
barcode	تووڵكۆد
base	بنچینە
basic-(1)	بنچینەیی، بنچینە
BASIC-(2)-(=-Basic-=-Beginners-Symbolic-All-purpose-Instruction-Code)	بەیسیک
basic-code-(1)	بەرنامەی بنچینەیی
BASIC-code-(2)	بەرنامەی بەیسیک
BASIC-compiler	وەرگێڕی بەیسیک
basic-dictionary	وشەنامەی بنەما، وشەنامەی بنچینەیی
basic-shapes	شێوەبنەمایییەكان
batch	١ـ دەسته، پۆل، چەپک‌ ٢ـ دەستەیی، پۆلی، چەپکی ٣ـ دەستەکردن، دەستەییکردن، بەپۆلکردن، بەچەپککردن
batch-file-	پەڕگەی دەستەیی
benchmark-	هەڵسەنگێنەر
beta	بێتا
binary	دوویی، دوانی
BIOS	"بایۆز"، "بایوس"، "بی‌ئای‌‌ئۆ‌‌ئێس"
bit	بیت
blank	بەتاڵ، سپی
block	١ـ بەربەست ٢ـ بلۆک
blog	بلۆگ
blogger	بلۆگنووس
bluetooth	بلووتووس، ددانشین
bookmark-(1)	پەڕتووکنیشانەکەر، جێنیشانەکەر، جێدۆز
bookmark-(2)	پەڕتووکنیشانەکەر، نیشانەکەری نێوان کتێب، نیشانەکەری شوێن یان وێبگە، شوێندۆزی وێبگه، وێبگەنیشانەکەر‌
boolean-(1)-(=-logical-=-Boolean)	بوولی
Boolean-(2)-(=-Boolean)	كەمایەتیی بوولی، گۆڕاوی بوولی
boolean-algebra	جەبری بوولی
boot	"بووت"، خستنەڕێ
bounce-(1)	دەركردن
bounce-(2)	گەڕانەوە
box	باوڵ، سندووق، جێدان
BRB	"هەر ئێستە دێمەوه"‌
broadband	بەرینباند
broadcast	بڵاوكردنەوه، پەخش، وەشان
browser	گەڕۆك، ئینتەرنێتخوێنەر
budget	بوودجه
buffer	نێوانگر، بیرگەی نێوانگر
bug	كەلێن، چەوتی، هەڵە
build	١ـ پێکهێنان ٢ـ بەرزکردنەوە
burner	سووتێنەر
burst	١ـ تەقینەوە ٢ـ تەقاندنەوە
bus	تێپەڕگە
busy	سەرقاڵ
busy-hour	کاژێری سەرقاڵی
button	دوگمە
bypass	لاتێپەڕی، بەلاداتێپەڕین
byte-	بایت، هەشتە، هەشت بیت
bad-sector-	کەرتی خراپ، سەکتەری خراپ
badge-reader	نیشانەخوێن، نیشانەخوێنەر
balance	١ـ هاوسەنگی، هاوتایی ٢ـ تەرازوو ٣ـ هاوسەنگکردن، هاوتاکردن، هاوتەرازکردن
balanced	هاوسەنگ، هاوتا، هاوتەراز
balanced-bridge	پردی هاوسەنگ
balanced-error	هەڵەی هاوسەنگ
ball	گۆ
ball-printer	چاپکەری گۆدار
ban	ڕێگرتن
band	باند، نەوار، شریت
bandwidth	باندبەرینی
banner-(1)	بەیداخ، بەنێر
banner-(2)	سەردێڕی سەرەکی
banner-(3)	سەردێڕسازی
Banner-(4)	بەنێر
C-(1)	"سی"
C-(2)	"سی"
C#	"سی‌شارپ"
C+	"سی‌‌پڵەس"
C++	"سی‌‌پڵەس‌پڵەس"
C:	س‌جووتخاڵ، سی‌-جووتخاڵ
cab-(1)	ژووریله
cab-(2)	درێژکراوەیەکە بۆ پەڕگەیەکی پەستێنراو لە سیستەمەکانی ویندۆزدا
cable	كێبڵ
cache	حەشارگه
cad-	داڕشتن به یارمەتیی كۆمپیۆتەر
caddy	"كەدی" قەباغی سی‌دی
calculate	١ـ ژماردن، هەژمارکردن ٢ـ لێکدانەوە ٣ـ نەخشەدانان، ڕێکخستن
calculation	ژمێركاری، ژمارەكاری، ژماردن، هەژماركردن
calculator	ژمێرەر، ئامێری ژماردن
cancel	هەڵوەشاندنەوه
canonical	باو، بەپێی یاسا
capability	توانا، توانست، توانایی
capacity	١ـ جێگرتن، فراوانی ٢ـ توانایی، توانا
capture	گرتن
card	كارت
case-	سنووق (ی كاڵاڕەقەكانی كۆمپیوتەر).
case(SW)	بار، دۆخ
category	هاوپۆلەكان
CD-ROM-	"سی‌دی‌ـ رام"، دیسکی تیشکی
CD-RW-	(CD-RW)، دیسکی پەستێنراوی لەسەرنووسەنی
central	ناوەندی
certificate	بڕوانامه
challenge/response	بەرەنگاری/ وەڵام
CHAP-	سی‌ئێچ‌ئە‌ی‌پی
character	نووسه
charge	بارگە
charged	بارگەکراو، بارگاوی
charger	بارگاویکەر، بارگەدەر
chart	هێڵكاری
chat	دەمەتەقێ، چات
check	پیاچوونەوە، تێڕوانین
check-box	چوارگۆشەی پیاچوونەوە، خانەی پیاچوونەوە
chip	چیپ، تەڵەزم، تەڵاش
chip-set	کۆمەڵە تەڵەزم
cipher	سفر، سفراندن
circuit	خولگە، کەمەرە، چێوە
class	پۆل
click	كرته، كلیك
client	ڕاژەخواز
clip	گرته، كلیپ، چەپك
clock-rate	تێكڕای لەرە، ‌چركەلەرە، ڕێژەی لەره
clone	لەبەرگرتنەوه، وێکچوو، لێکچوو، وەكخۆی، كلۆن، کتومت
close-(1)	داخستن
close-(2)	نزیک
close-and-open-a-file	کردنەوە و داخستنی پەڕگە
close-button	دوگمەی داخستن
closed-	داخراو
cloud-computing	هەورە پێژمێری، پێژمێریی هەوری
cluster	هێشوو، پۆل، گرووپ
CMOS	(CMOS)، "سی‌مۆس"
code-(1)	كۆد، ڕەمز، نهێنی
code-(2)-(=-program)	١ـ بەرنامە ٢ـ بەرنامەنووسی
code-(3)	نهێنبەندیکردن
codec	(codec)، "کۆدێک"
collapse	١ـ ڕووخان، ڕمان، هەرەسهێنان ٢ـ نووشتانەوە ٣ـ کەوتن
column	ستوون
COM-(1)	(COM)، "كام"
COM-(2)	(COM)، "كام"
COM-(3)	(COM)، "كام"
COM-(4)	(COM)، "كام"
comma	بۆر، كۆما
command	فەرمان
comment-	١ـ ڕوونكردنەوه. ‌  ٢ـ بۆچوون، لێدوان، تێبینی، سەرنج.
common	هاوبەش، باو
Common-Gateway-Interface-(=-CGI)-	ناوبەستی دەرەڕێی هاوبەش
communication	١ـ ڕاگەیاندن، پێگەیاندن ٢ـ پێوەندی ٣ـ هۆی گەیاندن یا پێوەندیگرتن
compact	پەستێنراو
company	بەشگە، هاوبەشگە
compatible	گونجاو، شیاو
compile	وەرگێڕان
compiler	وەرگێڕ
compress	پەستان
computable	ژماردنی، دەتوانێ بژمێردرێت، ژماردەنی
computation	١ـ ژماردن، لێکدانەوە ٢ـ ئەنجامی ژماردنێک
compute-(1)	ژماردن، لێکدانەوە
compute-(2)	پێژمێری، پێژمێرکردن
computer	كۆمپیوتەر، بژمێر، پێژمێر، ژمێرەری ئەلیکترۆنی
computer-abuse	خراپ بەکارهێنانی کۆمپیوتەر
computer-animation	بەجووڵەگەریی کۆمپیوتەری
Computer-Graphics-Interface-(=-CGI)-	ناوبەستی گرافیکی پێژمێر (کۆمپیوتەر)
computer-aided-	بەیاریدەی کۆمپیوتەر، بەیارمەتیی کۆمپیوتەر
CON	(CON)، "کون"
concat	كۆكردنەوه، خستنەسەریەك
conditional-formatting	شێوازکاریی بەمەرج، فۆرماتکردنی بەمەرج
configuration	شێوەپێدان‌
connection	بەستنەوه، پەیوەندی
console-(1)	شێلمان، هەڵگر، تاق، سەردیوار
constant	نەگۆڕ
constructor	بنیاتنەر
content	ناوەڕۆك
content-layout	گەڵاڵەبەندیی ناوەڕۆك
context	١ـ دەق ٢ـ پێکهات، تەنراو، شانە
context-menu	لیستەی پێکهات
continue	درێژەپێدان
control-bus	تێپەڕگەی ڕێكخستن، تێپەڕگەی کۆنترۆڵ
control-panel	پەڕ‌ەی چاودێری
controls	کۆنترۆڵەکان
convert	گۆڕین، گۆڕان
cookie-(=-Cookie)	شەكرۆكە
copy	ڕوونووس،  لەبەرگرتنەوە
copyright	مافی لەبەرگرتنەوە
cost	تێچوون، بەها
count	١ـ ژماردن ٢ـ کۆکردنەوە
counter	ژمێرەر
CPRM-	سی‌پی‌ئار‌ئێم، پاراستنی ناوەڕۆکی ڕاگەیێنە لابردەنییەکان
CPU-	١سی‌پی‌یوو‌ ( یەكەی ڕێکخەری ناوەندی، ڕێکخەری ناوەندی)
crack	شكان، كراك
CRAM-	(CRAM)، سی‌ئار‌ئە‌ی‌ئێم
crash	تێكشكان
crawler	وێبخشۆك
create	ئافراندن، دروستكردن
credit	بایەخ، بڕوا
credit-card	بڕواکارت، کارتی بڕوا، کارتی بایەخ، کارتی قەرز
cron	كارگێڕ
crossover	١ـ پەڕینەوە، بڕین  ٢ـ بڕگا، شوێنی یەکتربڕین
cryptography	نهێنیكردن
CSMA-CD-	سزماسیدی، دەستپێگەیشتنی چەندجارەی وەرگری هەڵگر/ ئاشکراسازیی پێکدادان
CSS	(CSS)، "سی‌ئێس‌ئێس"
CSV-(1)	(CSV)، سی‌ئێس‌ڤی، نرخی بە بۆر جیابوو
CSV-(2)	(جۆرە درێژکراوەیەکی پەڕگە)
ctrl-key	دوگمەی كۆنتڕۆڵ
currency	دراو، پاره
current-(1)	تەزوو، لووزەو (تەزووی کارەبایی)
current-(2)	تایبەتی بە ئێستا، دواژمارە
current-address	دوایین ناونیشان
current-date	ڕێکەوتی ئێستاکە
cursor	جێنیشاندەر
custom	ڕاسپێراو
customize	كڕیارخوازكردن، چاكردن و گۆڕینی شتێك بەپێی خواستی كڕیار
cut	بڕین
CVS	سی‌ڤی‌ئێس، سیستەمی وەشانە هاوکاتەکان
CWIS-	سیستەمی بەرفراوانی كۆگاكردنی زانیارییەكانە لە زانكۆ و پەیمانگاكاندا
cybrarian	كارمەندی كتێبخانەی دیجیتاڵ
cancel	هەڵوەشاندنەوه
canonical	باو، بەپێی یاسا
capability	توانا، توانست، توانایی
capacity	١ـ جێگرتن، فراوانی ٢ـ توانایی، توانا
capture	گرتن
card	كارت
case-	سنووق (ی كاڵاڕەقەكانی كۆمپیوتەر).
case(SW)	بار، دۆخ
category	هاوپۆلەكان
CD-ROM-	"سی‌دی‌ـ رام"، دیسکی تیشکی
CD-RW-	(CD-RW)، دیسکی پەستێنراوی لەسەرنووسەنی
central	ناوەندی
certificate	بڕوانامه
D-(1)	"دی"
D-(2)	"دی"
D:	"دی‌جووتخاڵ"
daemon-(=-demon)	(بنواڕه demon)
dash	کشتەک، تەقەڵ
DAT-(1)-[Data]	(DAT)، دات
data	دراوه، داتا
data-bus	تێپەڕگەی دراوه
data-warehouse	كۆگای دراوه
database	بنكەدراوە ـ بنكەی دراوه
datagram	داتاگرام
date	ڕێكەوت
debug-(1)	ڕاستكردنەوە، هەڵەدۆزین، هەڵەسڕینەوە
debug-(2)	سیخوڕسڕی، سیخوڕسڕینەوە
debugger	هەڵەدۆز، ڕاستكەرەوه، هەڵەسڕ
decode	كۆدهەڵوەشاندنەوه
decoder	كۆدهەڵوەشێنەر
decompile	وەرگێڕاندنەوە
decompiler	وەرگێڕێنەر
decompress	شیتەڵكردنەوە
decryption	ئاشكراكردن
dedicated	تایبەتمەند
default	بنەڕەت
defragment	دێفراگمێنت، یەکخستنی پارچەبەندبووەکان، ڕێكخستن و خستنەپاڵیەكی هەڵگیراوەكانی ناو پەپكە
delete	سڕینەوه
demilitarized-zone-(=-DMZ)	DMZ، ناوچەی سوپالێدەرکراو، ناوچەی بێسوپا، ناوچەی سوپالێکێشراو
demo	پیشاندان
demon-(1)-(=-daemon)	(demon)، دێمۆن، دیمن، تارمایی، شەوه
demon-(2)-(=-daemon)	(demon)، دێمۆن، قوفڵشکێن
dencity	چڕی
denial-	نكۆڵی
depth	قووڵایی
depth-first-search-(=-DFS)	گەڕانی لەپێشدالەقووڵایی
derived	داتاشراو
descend	نزمبوونەوە، هاتنەخوارەوە
descendant	نەوە، وەچە، بەرە، توخم
descender	خوارهاتوو، شۆڕبوو
descending	داشۆڕی، داکشاوی، نزمبوونی، هاتنەخواری
description	نیشانەهەڵدان، وەسفکردن، وەسف
design	داڕشتن
desire	داخوازی، خواست
desktop	ڕوومێز
desktop-computer	كۆمپیۆتەری ڕوومێز
destructor	لەناوبەر
detail	وردی، وردەکاری
device	ئامێر
